eval,a_median,a_q25,a_q75,b_median,b_q25,b_q75,c_median,c_q25,c_q75,d_median,d_q25,d_q75
24,31.285035924700825,29.74116266157287,33.391304643160886,30.913943568523102,29.687023292649634,32.19321937341282,30.913943568523102,29.687023292649634,32.19321937341282,30.913943568523102,29.687023292649634,32.19321937341282
25,31.099330938315344,29.670681264845502,33.391304643160886,30.913943568523102,29.687023292649634,32.09026809619412,30.913943568523102,29.687023292649634,32.09026809619412,30.913943568523102,29.687023292649634,32.09026809619412
26,31.044573884749312,29.670681264845502,33.391304643160886,30.913943568523102,29.687023292649634,32.09026809619412,30.913943568523102,29.687023292649634,32.09026809619412,30.913943568523102,29.687023292649634,32.09026809619412
27,30.905765436925922,29.670681264845502,33.391304643160886,30.913943568523102,29.687023292649634,32.09026809619412,30.913943568523102,29.687023292649634,32.09026809619412,30.913943568523102,29.687023292649634,32.09026809619412
28,30.808786677260176,29.670681264845502,33.391304643160886,30.913943568523102,29.687023292649634,31.837616566016077,30.913943568523102,29.687023292649634,31.837616566016077,30.913943568523102,29.687023292649634,31.837616566016077
29,30.808786677260176,29.62090521356169,33.391304643160886,30.913943568523102,29.687023292649634,31.837616566016077,30.913943568523102,29.687023292649634,31.837616566016077,30.913943568523102,29.687023292649634,31.837616566016077
30,30.808786677260176,29.62090521356169,33.391304643160886,30.913943568523102,29.687023292649634,31.837616566016077,30.913943568523102,29.687023292649634,31.837616566016077,30.913943568523102,29.687023292649634,31.837616566016077
31,30.808786677260176,29.62090521356169,33.391304643160886,30.913943568523102,29.687023292649634,31.837616566016077,30.913943568523102,29.687023292649634,31.837616566016077,30.913943568523102,29.687023292649634,31.837616566016077
32,30.808786677260176,29.62090521356169,33.391304643160886,30.913943568523102,29.687023292649634,31.837616566016077,30.59266733899709,29.46414813422958,31.471820497862762,30.714550511823056,29.282749153560292,31.57338740221642
33,30.808786677260176,29.582346045375207,33.391304643160886,30.913943568523102,29.687023292649634,31.837616566016077,30.59266733899709,29.46414813422958,31.471820497862762,30.549275152151317,28.57886037916889,31.57338740221642
34,30.24617345737365,29.501392250084937,32.93692144651769,30.714550511823056,29.687023292649634,31.57338740221642,30.59266733899709,29.46414813422958,31.471820497862762,30.549275152151317,28.57886037916889,31.57338740221642
35,30.24617345737365,29.407521379264203,32.93692144651769,30.67657326397493,29.645832380426533,31.57338740221642,30.54830731905151,28.790598743415465,31.33275450147384,30.549275152151317,28.57886037916889,31.57338740221642
36,30.24617345737365,29.138667329901484,32.93692144651769,30.67657326397493,29.645832380426533,31.57338740221642,30.54830731905151,28.790598743415465,31.33275450147384,30.549275152151317,28.243069278929138,31.57338740221642
37,30.165347158229267,29.094701423152475,32.93677857784234,30.471080765036625,29.645832380426533,31.57338740221642,30.238369946601402,28.334598359186675,31.206754038623817,30.549275152151317,28.243069278929138,31.52175242529575
38,30.165347158229267,28.977247816146146,32.55242423287344,30.34378265321301,29.46414813422958,31.57338740221642,30.238369946601402,28.329300758400905,31.088105233398903,30.41294162290263,28.243069278929138,31.379948888793876
39,30.165347158229267,28.977247816146146,31.887648138635136,30.34378265321301,29.46414813422958,31.57338740221642,30.238369946601402,28.329300758400905,31.088105233398903,30.41294162290263,28.243069278929138,31.379948888793876
40,29.784761375030005,28.88596866198179,31.887648138635136,30.34378265321301,29.46414813422958,31.57338740221642,30.238369946601402,28.329300758400905,31.088105233398903,30.41294162290263,28.243069278929138,31.379948888793876
41,29.784761375030005,28.84911265669004,31.887648138635136,30.34378265321301,29.46414813422958,31.57338740221642,30.238369946601402,28.329300758400905,31.088105233398903,30.238369946601402,28.243069278929138,31.33275450147384
42,29.784761375030005,28.83046001703406,31.887648138635136,30.34378265321301,29.46414813422958,31.57338740221642,30.238369946601402,28.329300758400905,31.038966768578007,30.238369946601402,28.243069278929138,31.33275450147384
43,29.784761375030005,28.83046001703406,31.887648138635136,30.34378265321301,29.46414813422958,31.57338740221642,30.238369946601402,28.329300758400905,31.038966768578007,30.238369946601402,28.243069278929138,31.33275450147384
44,29.784761375030005,28.83046001703406,31.887648138635136,30.34378265321301,29.46414813422958,31.57338740221642,30.21683632195341,28.234670541996156,31.038966768578007,30.21683632195341,28.243069278929138,31.33275450147384
45,29.784761375030005,28.794498635581878,31.887648138635136,30.34378265321301,29.46414813422958,31.57338740221642,30.21683632195341,28.234670541996156,31.038966768578007,30.21683632195341,28.243069278929138,31.33275450147384
46,29.784761375030005,28.74819014275825,31.887648138635136,30.34378265321301,29.46414813422958,31.57338740221642,30.21683632195341,28.234670541996156,31.038966768578007,30.21683632195341,28.243069278929138,31.33275450147384
47,29.784761375030005,28.74819014275825,31.887648138635136,30.34378265321301,29.46414813422958,31.57338740221642,30.21683632195341,28.234670541996156,31.038966768578007,30.21683632195341,28.243069278929138,31.33275450147384
48,29.784761375030005,28.74819014275825,31.887648138635136,30.34378265321301,29.46414813422958,31.57338740221642,30.10352661729967,28.234670541996156,31.0033540815351,30.21683632195341,28.243069278929138,31.33275450147384
49,29.784761375030005,28.74819014275825,31.887648138635136,30.34378265321301,29.46414813422958,31.471820497862762,30.10352661729967,28.234670541996156,31.0033540815351,30.21683632195341,28.243069278929138,31.33275450147384
50,29.69838549304915,28.74819014275825,31.887648138635136,30.34378265321301,29.46414813422958,31.471820497862762,30.10352661729967,28.234670541996156,31.0033540815351,30.21683632195341,28.243069278929138,31.33275450147384
51,29.69838549304915,28.74819014275825,31.887648138635136,30.34378265321301,29.46414813422958,31.471820497862762,29.934213083174555,28.234670541996156,31.0033540815351,30.21683632195341,28.243069278929138,31.33275450147384
52,29.69838549304915,28.74819014275825,31.887648138635136,30.34378265321301,29.46414813422958,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,30.093371230421972,28.170387558253775,31.33275450147384
53,29.69838549304915,28.74819014275825,31.887648138635136,30.34378265321301,29.46414813422958,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,29.776929684930206,28.170387558253775,31.237850069166115
54,29.69838549304915,28.519238612309415,31.887648138635136,30.34378265321301,29.46414813422958,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,29.579654931485216,28.170387558253775,31.237850069166115
55,29.69838549304915,28.519238612309415,31.7947682442511,30.34378265321301,28.62555172601048,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,29.579654931485216,28.170387558253775,31.237850069166115
56,29.69838549304915,28.519238612309415,31.7947682442511,30.34378265321301,28.62555172601048,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,29.49700505119619,28.170387558253775,31.237850069166115
57,29.69838549304915,28.519238612309415,31.7947682442511,30.34378265321301,28.62555172601048,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,29.44090077312196,28.170387558253775,31.237850069166115
58,29.69838549304915,28.447775395187882,31.7947682442511,30.34378265321301,28.62555172601048,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,29.329440500401883,28.170387558253775,31.237850069166115
