algorithm,n,seed,nodes_expanded,backtracks,constraint_checks,repair_steps,runtime_seconds,objective,num_assigned,num_unassigned,failure_rate,success,hit_step_budget,budget_s,censored
basic_backtracking,50,202,738561,738536,738561,0,5.000027713999998,5303.783913977215,25,25,0.5,False,False,5.0,True
basic_backtracking,50,303,789774,789745,789774,0,5.000056975000007,4640.472434818519,30,20,0.4,False,False,5.0,True
basic_backtracking,50,404,527890,527848,527890,0,5.000085697000031,1537.926595511344,44,6,0.12,False,False,5.0,True
basic_backtracking,50,505,1144008,1143978,1144008,0,5.000031605000004,4141.6300532102205,30,20,0.4,False,False,5.0,True
bt_mrv,5,7,6,1,6,0,8.02610002210713e-05,87.0872816084968,5,0,0.0,True,False,5.0,False
bt_mrv,5,13,6,1,6,0,6.0781999991377234e-05,98.49768185336382,5,0,0.0,True,False,5.0,False
bt_mrv,5,42,6,1,6,0,5.8283000043957145e-05,55.79772938890289,5,0,0.0,True,False,5.0,False
bt_mrv,5,101,1513,1513,1513,0,0.007437693000156287,427.36594898586844,3,2,0.4,False,False,5.0,False
bt_mrv,5,202,236130,236130,236130,0,1.2834696319998784,198.13913492161254,4,1,0.2,False,False,5.0,False
bt_mrv,5,303,6,1,6,0,6.823199987593398e-05,25.233782554304653,5,0,0.0,True,False,5.0,False
bt_mrv,5,404,7,2,7,0,5.815000008624338e-05,40.43487826847239,5,0,0.0,True,False,5.0,False
bt_mrv,5,505,6,1,6,0,5.732399995395099e-05,55.64021684396608,5,0,0.0,True,False,5.0,False
bt_mrv,8,7,11,3,11,0,0.0001221549998717819,148.1789723238675,8,0,0.0,True,False,5.0,False
bt_mrv,8,13,13,5,13,0,0.0001161259999662434,165.06947949497533,8,0,0.0,True,False,5.0,False
bt_mrv,8,42,12,4,12,0,0.00011902399978680478,127.95418282367773,8,0,0.0,True,False,5.0,False
bt_mrv,8,101,59680,59680,59680,0,0.3777023239999835,785.418313807762,5,3,0.375,False,False,5.0,False
bt_mrv,8,202,720579,720572,720579,0,5.0000095530001545,249.06623797630823,7,1,0.125,False,False,5.0,True
bt_mrv,8,303,10,2,10,0,0.00012084900004083465,92.73052747526327,8,0,0.0,True,False,5.0,False
bt_mrv,8,404,13,5,13,0,0.00011393199997655756,64.24134107205839,8,0,0.0,True,False,5.0,False
bt_mrv,8,505,10,2,10,0,0.00010952999991786783,125.09161059108362,8,0,0.0,True,False,5.0,False
bt_mrv,10,7,14,4,14,0,0.00016178600003513566,166.37990749741178,10,0,0.0,True,False,5.0,False
bt_mrv,10,13,20,10,20,0,0.00016108699992400943,227.65902623499073,10,0,0.0,True,False,5.0,False
bt_mrv,10,42,602464,602455,602464,0,5.0000114859999485,231.11186577250186,9,1,0.1,False,False,5.0,True
bt_mrv,10,101,764455,764448,764455,0,5.000011714000038,811.1844558130161,7,3,0.3,False,False,5.0,True
bt_mrv,10,202,744191,744183,744191,0,5.00000602199998,402.9424403126861,8,2,0.2,False,False,5.0,True
bt_mrv,10,303,14,4,14,0,0.00015061900012369733,109.70815935184638,10,0,0.0,True,False,5.0,False
bt_mrv,10,404,617348,617339,617348,0,5.000012817999959,214.66420524998398,9,1,0.1,False,False,5.0,True
bt_mrv,10,505,17,7,17,0,0.00015118700002858532,143.024046529168,10,0,0.0,True,False,5.0,False
bt_mrv,12,7,23,11,23,0,0.0002084089999243588,178.6107489256725,12,0,0.0,True,False,5.0,False
bt_mrv,12,13,24,12,24,0,0.00020885599997200188,249.55717176682413,12,0,0.0,True,False,5.0,False
bt_mrv,12,42,543600,543589,543600,0,5.000006591999863,242.07699802107655,11,1,0.08333333333333333,False,False,5.0,True
bt_mrv,12,101,558544,558535,558544,0,5.000010170999985,819.0465316221388,9,3,0.25,False,False,5.0,True
bt_mrv,12,202,593572,593562,593572,0,5.0000115400000595,470.00902524701877,10,2,0.16666666666666666,False,False,5.0,True
bt_mrv,12,303,17,5,17,0,0.00021223499993539008,148.38839612276044,12,0,0.0,True,False,5.0,False
bt_mrv,12,404,528812,528801,528812,0,5.000013308000007,272.1948371180437,11,1,0.08333333333333333,False,False,5.0,True
bt_mrv,12,505,26,14,26,0,0.00022047400011615537,173.35678950960943,12,0,0.0,True,False,5.0,False
bt_mrv,15,7,49,34,49,0,0.0003627719997894019,269.94173161919264,15,0,0.0,True,False,5.0,False
bt_mrv,15,13,58,43,58,0,0.0003850909999982832,324.4567546487082,15,0,0.0,True,False,5.0,False
bt_mrv,15,42,429567,429553,429567,0,5.000008958999842,315.8096701031756,14,1,0.06666666666666667,False,False,5.0,True
bt_mrv,15,101,555745,555733,555745,0,5.000011262000044,874.1628507112113,12,3,0.2,False,False,5.0,True
bt_mrv,15,202,541093,541080,541093,0,5.000024419000056,519.2429475647685,13,2,0.13333333333333333,False,False,5.0,True
bt_mrv,15,303,30,15,30,0,0.00034209399996143475,175.25658302045264,15,0,0.0,True,False,5.0,False
bt_mrv,15,404,488472,488458,488472,0,5.000015801000018,294.95769596882,14,1,0.06666666666666667,False,False,5.0,True
bt_mrv,15,505,37,22,37,0,0.0003032760000678536,199.36532372996072,15,0,0.0,True,False,5.0,False
bt_mrv,20,7,133,113,133,0,0.0007003290002103313,457.2805735840575,20,0,0.0,True,False,5.0,False
bt_mrv,20,13,432100,432082,432100,0,5.000014369999917,819.1036295556123,18,2,0.1,False,False,5.0,True
bt_mrv,20,42,450745,450727,450745,0,5.000016308999875,646.0051612733184,18,2,0.1,False,False,5.0,True
bt_mrv,20,101,543351,543334,543351,0,5.000012597000023,949.3077083713504,17,3,0.15,False,False,5.0,True
bt_mrv,20,202,486226,486208,486226,0,5.000016607999896,668.9626480306306,18,2,0.1,False,False,5.0,True
bt_mrv,20,303,64,44,64,0,0.0005851629998687713,286.499118843064,20,0,0.0,True,False,5.0,False
bt_mrv,20,404,492095,492078,492095,0,5.000008353000112,485.59805694510317,18,2,0.1,False,False,5.0,True
bt_mrv,20,505,415298,415279,415298,0,5.000029604000019,380.8157990467118,19,1,0.05,False,False,5.0,True
bt_mrv,25,7,410872,410848,410872,0,5.000022067000145,1037.6273683405263,24,1,0.04,False,False,5.0,True
bt_mrv,25,13,347869,347846,347869,0,5.00001460500016,914.0082792240202,23,2,0.08,False,False,5.0,True
bt_mrv,25,42,322424,322402,322424,0,5.000039052000147,823.8105232691266,22,3,0.12,False,False,5.0,True
bt_mrv,25,101,498157,498135,498157,0,5.000017597999886,1077.2181495022023,22,3,0.12,False,False,5.0,True
bt_mrv,25,202,405410,405387,405410,0,5.000020569000071,735.0769703367355,23,2,0.08,False,False,5.0,True
bt_mrv,25,303,104,79,104,0,0.0010641689998465154,379.10034547824273,25,0,0.0,True,False,5.0,False
bt_mrv,25,404,345933,345911,345933,0,5.000011661999906,691.574537925205,22,3,0.12,False,False,5.0,True
bt_mrv,25,505,310841,310817,310841,0,5.0000264959999186,431.5135586074381,24,1,0.04,False,False,5.0,True
bt_mrv,30,7,408322,408293,408322,0,5.000029182999924,1227.2771378179564,29,1,0.03333333333333333,False,False,5.0,True
bt_mrv,30,13,309425,309397,309425,0,5.000027473000046,1147.7233208629682,28,2,0.06666666666666667,False,False,5.0,True
bt_mrv,30,42,389885,389858,389885,0,5.000032373000067,984.7701926979802,27,3,0.1,False,False,5.0,True
